Start Time,Number of Trips
2014-01-01,6059
2014-01-02,8600
2014-01-03,1144
2014-01-04,2292
2014-01-05,2678
2014-01-06,9510
2014-01-07,6267
2014-01-08,9246
2014-01-09,13354
2014-01-10,9847
2014-01-11,7695
2014-01-12,12515
2014-01-13,20633
2014-01-14,9999
2014-01-15,21630
2014-01-16,19953
2014-01-17,20301
2014-01-18,9438
2014-01-19,9028
2014-01-20,13407
2014-01-21,3804
2014-01-22,2451
2014-01-23,5071
2014-01-24,6176
2014-01-25,4338
2014-01-26,4980
2014-01-27,13119
2014-01-28,10033
2014-01-29,10021
2014-01-30,12158
2014-01-31,14653
2014-02-01,12771
2014-02-02,13816
2014-02-03,2600
2014-02-04,8709
2014-02-05,2746
2014-02-06,7196
2014-02-07,8495
2014-02-08,5986
2014-02-09,4996
2014-02-10,6846
2014-02-11,8343
2014-02-12,8580
2014-02-13,876
2014-02-14,3609
2014-02-15,2261
2014-02-16,3003
2014-02-17,4854
2014-02-18,5140
2014-02-19,8506
2014-02-20,11792
2014-02-21,8680
2014-02-22,13044
2014-02-23,13324
2014-02-24,12922
2014-02-25,12830
2014-02-26,11188
2014-02-27,12036
2014-02-28,9587
2014-03-01,9202
2014-03-02,8195
2014-03-03,7708
2014-03-04,10398
2014-03-05,13801
2014-03-06,12773
2014-03-07,13304
2014-03-08,16350
2014-03-09,12262
2014-03-10,17231
2014-03-11,24356
2014-03-12,15101
2014-03-13,10979
2014-03-14,16299
2014-03-15,18053
2014-03-16,9851
2014-03-17,12503
2014-03-18,16679
2014-03-19,13341
2014-03-20,19695
2014-03-21,20718
2014-03-22,19880
2014-03-23,11740
2014-03-24,13598
2014-03-25,16037
2014-03-26,14500
2014-03-27,16666
2014-03-28,18425
2014-03-29,4480
2014-03-30,7907
2014-03-31,17085
2014-04-01,23908
2014-04-02,22515
2014-04-03,26321
2014-04-04,12566
2014-04-05,18655
2014-04-06,20750
2014-04-07,14677
2014-04-08,21884
2014-04-09,26931
2014-04-10,27463
2014-04-11,26798
2014-04-12,27108
2014-04-13,26871
2014-04-14,28832
2014-04-15,10523
2014-04-16,20082
2014-04-17,22282
2014-04-18,20770
2014-04-19,24369
2014-04-20,18464
2014-04-21,27124
2014-04-22,27259
2014-04-23,26949
2014-04-24,28107
2014-04-25,27919
2014-04-26,19899
2014-04-27,21926
2014-04-28,28557
2014-04-29,18404
2014-04-30,2867
2014-05-01,26762
2014-05-02,32377
2014-05-03,25501
2014-05-04,21277
2014-05-05,30288
2014-05-06,32233
2014-05-07,32882
2014-05-08,17619
2014-05-09,22641
2014-05-10,21832
2014-05-11,28326
2014-05-12,31644
2014-05-13,32847
2014-05-14,30044
2014-05-15,26057
2014-05-16,17784
2014-05-17,29912
2014-05-18,27436
2014-05-19,31692
2014-05-20,35567
2014-05-21,34420
2014-05-22,24535
2014-05-23,24484
2014-05-24,16798
2014-05-25,25637
2014-05-26,26930
2014-05-27,32936
2014-05-28,29690
2014-05-29,33889
2014-05-30,34343
2014-05-31,27734
2014-06-01,31333
2014-06-02,34519
2014-06-03,29501
2014-06-04,36068
2014-06-05,24619
2014-06-06,37719
2014-06-07,31204
2014-06-08,30162
2014-06-09,18611
2014-06-10,33435
2014-06-11,30548
2014-06-12,29084
2014-06-13,18308
2014-06-14,28417
2014-06-15,28382
2014-06-16,34932
2014-06-17,35097
2014-06-18,35531
2014-06-19,31724
2014-06-20,34405
2014-06-21,30288
2014-06-22,29417
2014-06-23,32580
2014-06-24,35897
2014-06-25,34340
2014-06-26,34846
2014-06-27,35823
2014-06-28,28507
2014-06-29,27986
2014-06-30,33597
2014-07-01,34854
2014-07-02,26582
2014-07-03,27587
2014-07-04,13612
2014-07-05,22913
2014-07-06,23822
2014-07-07,31863
2014-07-08,32713
2014-07-09,34426
2014-07-10,36288
2014-07-11,35000
2014-07-12,28718
2014-07-13,24869
2014-07-14,25825
2014-07-15,22963
2014-07-16,35391
2014-07-17,38619
2014-07-18,36105
2014-07-19,29291
2014-07-20,30296
2014-07-21,35670
2014-07-22,36886
2014-07-23,34173
2014-07-24,36693
2014-07-25,36384
2014-07-26,27179
2014-07-27,27004
2014-07-28,33189
2014-07-29,37092
2014-07-30,37377
2014-07-31,35458
2014-08-01,32654
2014-08-02,26784
2014-08-03,25276
2014-08-04,33822
2014-08-05,34392
2014-08-06,36336
2014-08-07,36362
