Start Station Name,Start Station Latitude,Start Station Longitude,Number of trips
West St & Liberty St,40.711444,-74.014847,92130
University Pl & E 14 St,40.734814,-73.992085,87805
Grand St & Elizabeth St,40.718822,-73.99596,86380
W 21 St & 6 Ave,40.74173969,-73.99415556,80159
8 Ave & W 33 St,40.751551,-73.993934,78341
W 30 St & 10 Ave,40.752694,-74.002353,76177
E 17 St & Broadway,40.73704984,-73.99009296,75486
6 Ave & W 34 St,40.74964,-73.98805,73771
Pershing Square North,40.751873,-73.97770600000003,69777
West St & Chambers St,40.71754834,-74.01322069,66713
W 20 St & 10 Ave,40.745686,-74.00514100000002,66464
W 27 St & 7 Ave,40.746647,-73.993915,66209
Broadway & E 14 St,40.73454567,-73.99074142,65355
Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,65299
8 Ave & W 38 St,40.75461,-73.99176999999997,65248
W 31 St & 7 Ave,40.749156,-73.9916,64628
1 Ave & E 68 St,40.76500525,-73.95818491,63490
6 Ave & W 33 St,40.74901271,-73.98848395,62348
E 27 St & 1 Ave,40.739445,-73.97680600000002,62004
Allen St & Stanton St,40.722055,-73.989111,61120
1 Ave & E 39 St,40.74714,-73.97113,60847
Broadway & W 25 St,40.74286877312112,-73.98918628692627,60479
Carmine St & 6 Ave,40.73038599,-74.00214988,60298
E 13 St & Avenue A,40.72966729392978,-73.98067966103555,59951
E 15 St & 3 Ave,40.734232,-73.986923,59757
W 42 St & 6 Ave,40.75492,-73.98455,58771
West End Ave & W 60 St,40.77237,-73.99005,58413
Washington St & Gansevoort St,40.739323,-74.008119,58058
S 5 Pl & S 5 St,40.710451,-73.960876,57986
E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,56969
9 Ave & W 22 St,40.7454973,-74.00197139,56674
8 Ave & W 16 St,40.740983,-74.00170200000002,55630
W 55 St & 6 Ave,40.763189,-73.978434,54878
12 Ave & W 40 St,40.76087502,-74.00277668,54754
11 Ave & W 41 St,40.76030096,-73.99884222,54686
Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999998,54330
Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,54006
W 59 St & 10 Ave,40.770513,-73.988038,53906
1 Ave & E 16 St,40.73221853,-73.98165557,53688
Stanton St & Norfolk St,40.720747,-73.986274,53231
W 13 St & 5 Ave,40.735445,-73.99431,52727
Central Park S & 6 Ave,40.76590936,-73.97634151,52694
W 44 St & 11 Ave,40.762009,-73.996975,52117
W 4 St & 7 Ave S,40.73401143,-74.00293877,52001
